column,type,description
product_id,character,""
category,factor,""
brand,factor,""
season,factor,""
size,factor,""
color,factor,""
original_price,numeric,""
markdown_percentage,numeric,""
current_price,numeric,""
purchase_date,Date,""
stock_quantity,integer,""
customer_rating,numeric,""
is_returned,logical,""
return_reason,factor,""
expected_current_price,numeric,""
price_discrepancy,logical,""
rating_imputed,logical,""
month,Date,""
month_year,character,""
year,integer,""
quarter,character,""
week,Date,""
discounted,logical,""
discount_amount,numeric,""
profit_margin,numeric,""
