feature,Not_Returned,Returned,mean_imp,rank
original_price,100,100,100,1
sizeXL,78.6340314321853,78.6340314321853,78.6340314321853,2
sizeNot Applicable,72.47733711766708,72.47733711766708,72.47733711766708,3
current_price,69.72683321118386,69.72683321118386,69.72683321118386,4
categoryBottoms,69.00253644877114,69.00253644877114,69.00253644877114,5
discount_amount,67.80079459840086,67.80079459840086,67.80079459840086,6
profit_margin,66.89575924224572,66.89575924224572,66.89575924224572,7
brand_topZara,63.49285310518009,63.49285310518009,63.49285310518009,8
brand_topMango,59.25099711106178,59.25099711106178,59.25099711106178,9
discountedTRUE,56.900412652651575,56.900412652651575,56.900412652651575,10
brand_topForever21,55.96587352540888,55.96587352540888,55.96587352540888,11
color_topNavy,54.47033960721453,54.47033960721453,54.47033960721453,12
markdown_percentage,53.82435743154888,53.82435743154888,53.82435743154888,13
categoryOuterwear,53.59732988658752,53.59732988658752,53.59732988658752,14
color_topBlue,53.373793216982676,53.373793216982676,53.373793216982676,15
categoryShoes,51.09971567962555,51.09971567962555,51.09971567962555,16
color_topGreen,47.95431843652512,47.95431843652512,47.95431843652512,17
seasonSpring,47.90758447316319,47.90758447316319,47.90758447316319,18
price_discrepancyTRUE,47.71773508705076,47.71773508705076,47.71773508705076,19
color_topPink,46.20315133268285,46.20315133268285,46.20315133268285,20
brand_topH&M,41.613875731089216,41.613875731089216,41.613875731089216,21
categoryTops,40.53425315436653,40.53425315436653,40.53425315436653,22
brand_topUniqlo,38.94678838960655,38.94678838960655,38.94678838960655,23
brand_topGap,37.56162951036172,37.56162951036172,37.56162951036172,24
sizeXXL,36.88611865881041,36.88611865881041,36.88611865881041,25
sizeOther,36.45687994874614,36.45687994874614,36.45687994874614,26
color_topOther,35.83373066897687,35.83373066897687,35.83373066897687,27
seasonWinter,35.072646483531614,35.072646483531614,35.072646483531614,28
stock_quantity,32.75424948411302,32.75424948411302,32.75424948411302,29
categoryDresses,28.73390169981066,28.73390169981066,28.73390169981066,30
customer_rating,28.510793813674056,28.510793813674056,28.510793813674056,31
sizeXS,25.687233024645934,25.687233024645934,25.687233024645934,32
color_topRed,23.702806429625998,23.702806429625998,23.702806429625998,33
color_topGray,21.409118210622374,21.409118210622374,21.409118210622374,34
brand_topBanana Republic,11.021205299858064,11.021205299858064,11.021205299858064,35
color_topWhite,10.452635371275086,10.452635371275086,10.452635371275086,36
sizeS,3.4304643557139025,3.4304643557139025,3.4304643557139025,37
seasonSummer,0,0,0,38
